YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2018,6,35563,24999,auto trader
2015,9,92270,14977,auto trader
2016,8,85842,17977,auto trader
2008,16,58851,11995,auto trader
2006,18,76680,9900,auto trader
2010,14,189500,6988,car gurus
2017,7,102751,20999,car gurus
2015,9,75000,18999,car gurus
2020,4,41302,25977,car gurus
2011,13,75000,15995,car gurus
2007,17,160000,5700,craigs list
2020,4,4800,28900,craigs list
2012,12,125000,10499,craigs list
2014,10,122000,10990,craigs list
2006,18,224000,1995,craigs list
2022,2,19665,31110,cargurus
2024,0,149,37695,auto trader
2022,2,32000,27900,craigs list